FID_1_1,DBA_Edited,Yelp_Name,NOT_FOUND,CLOSED,Temp_CLOSE,TempOrPerm,Years_Open,GasStation,DollarStor,ChainFastF,PRIMARY_LI,Secondary_,ADDRESS,City,State,FullAddres,Lat,Long,lname,GEOID,BUFF_DIST,Count_Closed,Count_Open,Bus_Tot,Prop_Closed,DistDowntown
576,DOUGLAS-AUTO-SALES,Douglas Auto and Truck Sales,0,0,0,0,NA,0,0,0,SecHandAut,,702 Douglas Ave,Providence,RI,"702 Douglas Ave, Providence, RI",41.848695,-71.4324484,Wanskuck,44007002800,0.25,0,9,9,0,1.477474107
536,Douglas-Food-Mart-and-Gas,Douglas Food Mart & Gas,0,0,0,0,NA,0,0,0,FoodDisp,,175 Douglas Ave,Providence,RI,"175 Douglas Ave, Providence, RI",41.8372879,-71.4217497,Smith Hill,44007002600,0.25,0,17,17,0,0.41528664
577,Douglas-Tire-Shop,Douglas Tire Shop,0,0,0,0,NA,0,0,0,SecHandStore,,616 Douglas Ave,Providence,RI,"616 Douglas Ave, Providence, RI",41.8469217,-71.4302191,Wanskuck,44007002800,0.25,0,13,13,0,1.280579296
65,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,110 Dorrance St,Providence,RI,"110 Dorrance St, Providence, RI",41.8227435,-71.410066,Downtown,44007000800,0.25,5,90,95,0.053,0
63,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,122 Mathewson St,Providence,RI,"122 Mathewson St, Providence, RI",41.8227728,-71.4141575,Downtown,44007000800,0.25,9,101,110,0.082,0
64,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,191 Weybosset St,Providence,RI,"191 Weybosset St, Providence, RI",41.8220676,-71.4124718,Downtown,44007000800,0.25,6,103,109,0.055,0
69,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,271 Weybosset St,Providence,RI,"271 Weybosset St, Providence, RI",41.8208646,-71.4135779,Downtown,44007000800,0.25,5,85,90,0.056,0
62,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,321 Weybosset St,Providence,RI,"321 Weybosset St, Providence, RI",41.820187,-71.4142174,Downtown,44007000800,0.25,4,58,62,0.065,0
60,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,34 Snow St,Providence,RI,"34 Snow St, Providence, RI",41.8222654,-71.4150115,Downtown,44007000800,0.25,7,89,96,0.073,0
61,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,346 Westminster St,Providence,RI,"346 Westminster St, Providence, RI",41.8213097,-71.4142529,Downtown,44007000800,0.25,5,83,88,0.057,0
59,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,357 Westminster St,Providence,RI,"357 Westminster St, Providence, RI",41.8216337,-71.4148062,Downtown,44007000800,0.25,5,83,88,0.057,0
67,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,51-71 Washington St,Providence,RI,"51-71 Washington St, Providence, RI",41.8240457,-71.413992,Downtown,44007000800,0.25,9,101,110,0.082,0
66,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,65 Eddy St,Providence,RI,"65 Eddy St, Providence, RI",41.8234453,-71.4129745,Downtown,44007000800,0.25,9,114,123,0.073,0
68,Down City Parking,Down City Parking,0,0,0,0,NA,0,0,0,Parking,,93 Weybosset St,Providence,RI,"93 Weybosset St, Providence, RI",41.82345,-71.410725,Downtown,44007000800,0.25,5,93,98,0.051,0
